issn,titulo,citacoes_jcr,citacoes_scimago,impacto_jcr,impacto_scimago
15424863,CA-A CANCER JOURNAL FOR CLINICIANS,297,211,503.1,106.094
00079235,CA-A CANCER JOURNAL FOR CLINICIANS,297,211,503.1,106.094
19358245,Foundations and Trends in Machine Learning,70,39,65.3,37.044
19358237,Foundations and Trends in Machine Learning,70,39,65.3,37.044
14710072,NATURE REVIEWS MOLECULAR CELL BIOLOGY,115,508,81.3,35.91
14710080,NATURE REVIEWS MOLECULAR CELL BIOLOGY,115,508,81.3,35.91
00335533,QUARTERLY JOURNAL OF ECONOMICS,20,306,11.1,30.448
15314650,QUARTERLY JOURNAL OF ECONOMICS,20,306,11.1,30.448
1474175X,NATURE REVIEWS CANCER,77,505,72.5,26.837
14741768,NATURE REVIEWS CANCER,77,505,72.5,26.837
00928674,CELL,49,892,45.5,24.342
10974172,CELL,49,892,45.5,24.342
14741784,NATURE REVIEWS DRUG DISCOVERY,114,391,122.7,22.399
14741776,NATURE REVIEWS DRUG DISCOVERY,114,391,122.7,22.399
19447981,AMERICAN ECONOMIC REVIEW,15,359,10.5,22.344
00028282,AMERICAN ECONOMIC REVIEW,15,359,10.5,22.344
20588437,Nature Reviews Materials,85,184,79.8,21.836
17594782,Nature Reviews Clinical Oncology,81,217,81.1,21.048
17594774,Nature Reviews Clinical Oncology,81,217,81.1,21.048
00284793,NEW ENGLAND JOURNAL OF MEDICINE,94,1184,96.2,20.544
15334406,NEW ENGLAND JOURNAL OF MEDICINE,94,1184,96.2,20.544
00221082,JOURNAL OF FINANCE,10,352,7.6,19.139
15406261,JOURNAL OF FINANCE,10,352,7.6,19.139
1546170X,NATURE MEDICINE,59,630,58.7,19.045
10788956,NATURE MEDICINE,59,630,58.7,19.045
00223808,JOURNAL OF POLITICAL ECONOMY,11,215,6.9,18.53
1537534X,JOURNAL OF POLITICAL ECONOMY,11,215,6.9,18.53
14764687,NATURE,54,1391,50.5,18.509
00280836,NATURE,54,1391,50.5,18.509
15461696,NATURE BIOTECHNOLOGY,56,511,33.1,18.117
10870156,NATURE BIOTECHNOLOGY,56,511,33.1,18.117
15206890,CHEMICAL REVIEWS,63,833,51.4,17.828
00092665,CHEMICAL REVIEWS,63,833,51.4,17.828
00129682,ECONOMETRICA,8,223,6.6,17.701
14680262,ECONOMETRICA,8,223,6.6,17.701
14657368,REVIEW OF FINANCIAL STUDIES,9,234,6.8,17.654
08939454,REVIEW OF FINANCIAL STUDIES,9,234,6.8,17.654
15356108,CANCER CELL,42,398,48.8,17.507
18783686,CANCER CELL,42,398,48.8,17.507
20587546,Nature Energy,62,229,49.7,17.497
10614036,NATURE GENETICS,36,639,31.7,17.3
15461718,NATURE GENETICS,36,639,31.7,17.3
00346861,REVIEWS OF MODERN PHYSICS,52,388,45.9,16.061
15390756,REVIEWS OF MODERN PHYSICS,52,388,45.9,16.061
14741741,NATURE REVIEWS IMMUNOLOGY,78,467,67.7,16.009
14741733,NATURE REVIEWS IMMUNOLOGY,78,467,67.7,16.009
1553877X,IEEE Communications Surveys and Tutorials,34,264,34.4,15.966
17238617,World Psychiatry,55,140,60.5,15.827
15453278,Annual Review of Immunology,32,328,26.9,15.62
07320582,Annual Review of Immunology,32,328,26.9,15.62
15487091,NATURE METHODS,45,388,36.1,14.796
15487105,NATURE METHODS,45,388,36.1,14.796
14606976,ADVANCES IN PHYSICS,41,123,35.0,14.78
00018732,ADVANCES IN PHYSICS,41,123,35.0,14.78
19416520,Academy of Management Annals,25,109,14.3,14.605
19416067,Academy of Management Annals,25,109,14.3,14.605
17483387,Nature Nanotechnology,39,419,38.1,14.577
17483395,Nature Nanotechnology,39,419,38.1,14.577
14710056,NATURE REVIEWS GENETICS,52,421,39.1,14.293
14710064,NATURE REVIEWS GENETICS,52,421,39.1,14.293
14764660,NATURE MATERIALS,44,558,37.2,14.231
14761122,NATURE MATERIALS,44,558,37.2,14.231
00018392,ADMINISTRATIVE SCIENCE QUARTERLY,13,210,8.3,14.175
19303815,ADMINISTRATIVE SCIENCE QUARTERLY,13,210,8.3,14.175
15698041,ANNALS OF ONCOLOGY,38,294,56.7,13.942
09237534,ANNALS OF ONCOLOGY,38,294,56.7,13.942
15454282,Annual Review of Astronomy and Astrophysics,36,210,26.3,13.67
